DataID,加工機番,加工日開始,加工日終了,検査機番,検査日,検査数,OK数,全長NG,内径NG,外径NG,ねじNG,他NG,外観NG,備考
2606-0001,756,2026/05/28,2026/05/28,1,2026/06/01,636,626,0,2,0,0,0,8,
2606-0002,750,2026/05/28,2026/05/28,1,2026/06/01,450,437,0,0,0,0,0,13,
2606-0003,756,2026/05/29,2026/05/29,1,2026/06/02,644,627,1,0,0,0,1,15,
2606-0004,750,2026/06/01,2026/06/01,1,2026/06/02,635,615,0,0,0,0,0,20,
2606-0005,756,2026/06/01,2026/06/01,1,2026/06/02,641,617,0,0,1,0,0,23,
2606-0006,756,2026/06/02,2026/06/02,1,2026/06/04,522,515,0,0,1,0,0,6,
2606-0007,750,2026/06/02,2026/06/02,1,2026/06/04,671,652,0,0,0,0,0,19,
2606-0008,756,2026/06/02,2026/06/02,1,2026/06/04,637,629,0,0,0,0,0,8,
2606-0009,750,2026/06/04,2026/06/04,1,2026/06/08,693,662,0,0,0,3,1,27,
2606-0010,756,2026/06/08,2026/06/08,1,2026/06/09,494,485,0,1,0,0,0,8,
2606-0011,750,2026/06/08,2026/06/08,1,2026/06/09,545,521,0,0,0,0,0,24,
2606-0012,756,2026/06/09,2026/06/09,1,2026/06/10,552,540,0,0,0,0,1,11,
2606-0013,750,2026/06/09,2026/06/09,1,2026/06/10,603,584,0,0,0,0,0,19,
2606-0014,750,2026/06/02,2026/06/02,1,2026/06/11,79,78,0,0,0,0,0,1,
2606-0015,750,2026/06/10,2026/06/10,1,2026/06/11,697,674,0,0,0,0,0,23,
2606-0016,756,2026/06/10,2026/06/10,1,2026/06/11,640,632,0,0,2,1,1,4,
2606-0017,750,2026/06/11,2026/06/11,1,2026/06/15,699,673,0,0,1,0,0,25,
2606-0018,756,2026/06/11,2026/06/11,1,2026/06/15,635,632,0,0,1,0,1,1,
2606-0019,756,2026/06/12,2026/06/12,1,2026/06/15,608,607,0,0,0,0,0,1,
2606-0020,750,2026/06/12,2026/06/12,1,2026/06/15,687,660,0,0,1,0,0,26,
2606-0021,756,2026/06/15,2026/06/15,1,2026/06/17,642,633,0,0,0,0,0,9,
2606-0022,750,2026/06/15,2026/06/15,1,2026/06/17,641,624,0,0,0,0,0,17,
2606-0023,756,2026/06/16,2026/06/16,1,2026/06/17,1186,1159,0,0,0,0,1,26,
2606-0024,750,2026/06/17,2026/06/17,1,2026/06/22,682,671,0,0,0,0,1,10,
2606-0025,750,2026/06/24,2026/06/24,1,2026/06/25,640,617,0,0,0,0,0,23,
2606-0026,750,2026/06/23,2026/06/23,1,2026/06/25,609,578,0,0,0,0,0,31,
2606-0027,750,2026/06/25,2026/06/25,1,2026/06/26,672,653,0,0,0,1,0,18,
2606-0028,750,2026/06/26,2026/06/26,1,2026/06/30,693,669,0,0,0,0,0,24,
2606-0029,750,2026/06/29,2026/06/29,1,2026/06/30,641,614,0,0,0,0,0,27,
